wallet_address,reward_morbius,balance_morbius
0xd94dabf0563c39647702a74991845beeb722272b,35.121664213252385668,42503.107077611106115204
0x60fb3debee97b1eb9778f965e2e584ab14fc9f1a,32.124285256057319629,38875.775582261024950621
0x00e2f5ac83da949d8bfaa80e822462096e0f0b66,26.679437309356577394,32286.595926798962137711
0xc4d237913300762b4b34d74eb147c0226a9a3abf,23.8270931301850229,28834.780849545744902144
0xbfb14bf2de021dfeab5dd47af04ca28436fe4220,22.654698769602104514,27415.986946657715419627
0x4239408daf6deb790d1c6e722811a3264c76e653,21.488396492606058979,26004.565487155239162343
0x64a14f577644b619c846d42b848187370f3d5b1d,20.187389819739100206,24430.1291053881737422
0x31399c03e5cd1d70f6e90dd2b1d9f672ff0dfdcc,18.968030420428752413,22954.499624954166881273
0xae9a2bce9cca9ee080076c014016ab39979581b9,18.763928332581329456,22707.501850535786767691
0x96a995daad68776c8924d2117c72766f1859ca53,14.550849366975917194,17608.969351782776174949
0x1cbdc69963cdac86a0dde4860c55a30e86b3c52f,13.637989893109454942,16504.256211511994309898
0xc44ca9444bb42a850941375c9ae70d9b89c283e0,12.477608487579743927,15100.0
0x0d0dd460661a264604a3ad32079c3037830c5a56,12.053361436311021066,14586.589879740624946749
0x8605a54244bddef405ca1b0924cd003d434fedb1,11.328109889757947425,13708.913811938660051373
0x5f996bcdb61859cfbba9e0fdcb544f33ecb1b03b,10.773854648306854943,13038.171966316377387746
0xb4b9917c0bd9fbf7780a8823c8e674366156f28a,10.109115692483660129,12233.726287248817043703
0xbf55c7b3a9f95481033a402753c80b099a4157d1,9.358653171761995975,11325.540710327003367832
0x19c1bb001faa97bd0a07ac75719f380787ae4759,9.065006857996267553,10970.179397117330402918
0x4bd6d5c572ad27f035a7e6796a455e68fac625b9,8.263316879191883395,10000.0
0x6186367975b87e028ef4189ae81c7ca4ae637d6b,8.263316879191883395,10000.0
0x444f0714bd297b17fd717d0824b95ca1e48352dd,8.263316879191883395,10000.0
0x8a5d1d680d6d733b93974d04fa3fdd5a7798789b,7.686537361024289934,9302.0
0x5e9ff1d1f2017fc69b5e3accb0d47fc504093973,6.558726943733116936,7937.160149635375023158
0xea6f2c484b720103ef11c77f71bf07ec11640e29,6.259958335000603185,7575.600000000000000002
0x22b38331b854ba21c1fd3c0e4a23fbc950b0b1e6,5.891643721002984225,7129.877514244814324917
0x9fe6e05ad906a8e2567c132ea13152c3ada47740,5.656413822212358601,6845.209865370104717772
0x5e9d1e962b006b3babf31fcc61c05dd9ad6045b3,4.858824590590319749,5879.993060444623481525
0x7094072f97d04c0784ffb95677c52c605254152d,4.715825465837652008,5706.940124386031430553
0xf6976f0355d510dc1c8239f8a1b31ea7b513926a,4.590272526391091226,5555.0
0x7f18e5bad641f989aefb4379190430c0247eacb5,4.189501657750284881,5070.0
0x9c28bbf3a555e2044289e6e21cdb5c3d80cd0f32,3.907927803753470262,4729.248388857197834383
0xe5cc5d793416a760963a9eae843fac483ee5b8cb,3.52849535498646669,4270.071457469676819571
0x81f73ab20890eb5b0226e03b6b73bf37f4cf660a,3.516033072800269182,4254.990004866087127339
0x71e1bcd783d3397f4d82b70bc5dceb194eca7112,3.265829805989702105,3952.202068171305706063
0xa4e20fe1fc059254eaa4b8b27b27503f0edc9d62,2.75168452077089717,3330.000000000000000001
0x398c47e9860a1fe9369d18e79370a6735a7bc274,2.380636366026206192,2880.969471255496762464
0x3051586dfaf32606dd0ebf89a121f2a6b8f373c3,2.279934228770056735,2759.10298745922524676
0xc727edc3a8b61ba119a92723bdded83d4c8ff604,2.238379089910197247,2708.814296528709459986
0x106bf0c358d3f59134234776670ab68e7966cc2d,2.224594725024629444,2692.132902014747828772
0x33e595e5c02d339022d8e96d45dde702c8abafd0,2.087708946684295956,2526.478140928397810355
0x512c6e89046dd1417d32a970d878cc411a46c689,1.962537758808072306,2375.0
0x56f4087a96a000f3f515fb875666f38f4e302b6c,1.859237185484401111,2249.988972547094740833
0x8bc6070a8b0afb5fa1e88b635289e2964882c23d,1.850752217774024853,2239.72073784857734469
0x91ffe6630f15e91ad23160d17f103ffb88442806,1.834456347180598113,2220.000000000000000001
0x119cb55d6de609889edd8d788c06bca35c03dc8a,1.799243801066094794,2177.386910571984559426
0x9a0fac31f8e7aea3575903111da32a073fd245a7,1.644464721372899143,1990.078252370881693022
0x9eaea0ff2c8a31f8f317e147f1b1ed0f7b3191a6,1.391675138075406344,1684.160438745641018613
0x86805a6f49a3dbbf6b9b2ee1ac46a89aa4637efc,1.341962661180761863,1624.000000000000000002
0xd10dc5c09f902ceef3e53e1c544de4bdf9888412,1.340929504999157295,1622.749707657700758594
0xc1ace52a060d779e45471a7e1dc1127844d24f65,1.24920668764012739,1511.749707657700758594
0x5f4c9826fabfd3d606b433e73ac2c58cf3a82579,1.074231194294944841,1300.0
0xd9f64ae2001926f4824dba9ffc78f83f3ac8acba,1.049374192647262296,1269.918857026679276382
0x0a21ffc5dfb2617d1eab189f0b0a788d721c5c55,1.036120654054110414,1253.879851398653524207
0xdd25a1971124226c085a3c5fd4956ae94c8416e3,0.907973343357577754,1098.800102467295935071
0x2eeebac9b192c6a70329e21984524c295b526dd8,0.826331687919188339,1000.0
0x88e6d62edc103c7d51f3a4e46494b0c92b5b5f07,0.826331687919188339,1000.0
